,一部事務組合等コード表（令和７年10月23日現在）,,,,,,,
,238384,衣浦衛生組合,きぬうらえいせいくみあい,昭和37年4月1日,4470067,愛知県碧南市広見町１－１－１,0566413479,
,238422,蒲郡市幸田町衛生組合,がまごおりしこうたちょうえいせいくみあい,昭和38年4月18日,4438601,愛知県蒲郡市旭町１７－１,0533574100,
,238465,西知多医療厚生組合（普通会計分）,にしちたいりょうこうせいくみあい（ふつうかいけいぶん）,昭和44年4月1日,4780006,愛知県知多市三反田３－１－２,0562321597,
,238481,尾張東部衛生組合,おわりとうぶえいせいくみあい,昭和39年4月27日,4880031,愛知県尾張旭市晴丘町東３３－１,0561541643,
,238490,海部地区環境事務組合,あまちくかんきょうじむくみあい,昭和39年6月18日,4960071,愛知県津島市新開町２－２１２,0567283810,
,238511,小牧岩倉衛生組合,こまきいわくらえいせいくみあい,昭和39年9月18日,4850806,愛知県小牧市大字野口２８８１－９,0568791211,
,238538,知多南部衛生組合,ちたなんぶえいせいくみあい,昭和41年3月4日,4703321,愛知県知多郡南知多町大字内海字樫木７７－１,0569620402,
,238589,刈谷知立環境組合,かりやちりゅうかんきょうくみあい,昭和41年10月6日,4480861,愛知県刈谷市半城土町東田４６,0566215389,
,238597,江南丹羽環境管理組合,こうなんにわかんきょうかんりくみあい,昭和42年2月27日,4800121,愛知県丹羽郡大口町河北１－１３１,0587953200,
,238635,北名古屋水道企業団,きたなごやすいどうきぎょうだん,昭和44年8月21日,4810005,愛知県北名古屋市薬師寺山浦１－１,0568221251,
,238686,半田常滑看護専門学校管理組合,はんだとこなめかんごせんもんがっこうかんりくみあい,昭和45年5月1日,4750817,愛知県半田市東洋町２－４５,0569240992,
,238694,北設広域事務組合,ほくせつこういきじむくみあい,昭和45年6月10日,4412601,愛知県北設楽郡設楽町津具字下川原５－１,0536835730,
,238708,海部東部消防組合（普通会計分）,あまとうぶしょうぼうくみあい（ふつうかいけいぶん）,昭和46年4月1日,4970002,愛知県あま市七宝町遠島十坪１１９－１,0524420119,
,238724,尾三消防組合,びさんしょうぼうくみあい,昭和46年12月1日,4700151,愛知県愛知郡東郷町大字諸輪字曙１８,0561380119,
,238732,丹羽広域事務組合（事業会計分）,にわこういきじむくみあい（じぎょうかいけいぶん）,昭和46年12月15日,4800121,愛知県丹羽郡大口町河北２－２３,0587953400,
,238741,北名古屋衛生組合,きたなごやえいせいくみあい,昭和47年1月13日,4810041,愛知県北名古屋市九之坪五反地８０,0568223581,
,238791,海部南部消防組合,あまなんぶしょうぼうくみあい,昭和48年4月1日,4901438,愛知県海部郡飛島村大宝５－１８２,0567520119,
,238805,海部地区水防事務組合,あまちくすいぼうじむくみあい,昭和48年4月1日,4960047,愛知県津島市西柳原町１－１４,0567263962,
,238821,瀬戸旭看護専門学校組合,せとあさひかんごせんもんがっこうくみあい,昭和48年5月4日,4890058,愛知県瀬戸市進陶町６－１,0561852220,
,238848,尾張東部火葬場管理組合,おわりとうぶかそうじょうかんりくみあい,昭和48年8月27日,4850802,愛知県小牧市大字大草２００３－１,0568835001,
,238872,尾三衛生組合,びさんえいせいくみあい,昭和49年4月9日,4700151,愛知県愛知郡東郷町大字諸輪字百々５１－２３,0561382226,
,238902,愛知中部水道企業団,あいちちゅうぶすいどうきぎょうだん,昭和50年3月24日,4700153,愛知県愛知郡東郷町大字和合字北蚊谷２１２,0561380030,
,238970,知多南部消防組合,ちたなんぶしょうぼうくみあい,昭和53年4月1日,4702404,愛知県知多郡美浜町大字河和字南橘田１０６－１２６,0569640119,
,238988,知北平和公園組合,ちほくへいわこうえんくみあい,昭和54年4月1日,4740044,愛知県大府市桜木町５－１１８,0562485511,
,238996,五条広域事務組合,ごじょうこういきじむくみあい,昭和55年8月1日,4520901,愛知県清須市阿原向北５５,0524011181,
,239046,海部地区急病診療所組合,あまちくきゅうびょうしんりょうじょくみあい,昭和61年5月16日,4960011,愛知県津島市莪原町字郷西３７,0567255210,
,239054,春日井小牧看護専門学校管理組合,かすがいこまきかんごせんもんがっこうかんりくみあい,昭和63年4月21日,4860849,愛知県春日井市八田町２－３８－１,0568845611,
,239178,知多北部広域連合,ちたほくぶこういきれんごう,平成11年6月1日,4760003,愛知県東海市荒尾町西廻間２－１,0526891651,
,239186,海部南部広域事務組合（事業会計分）,あまなんぶこういきじむくみあい（じぎょうかいけいぶん）,平成12年4月1日,4901405,愛知県弥富市神戸３丁目２５,0567566055,
,239208,海部東部消防組合（事業会計分）,あまとうぶしょうぼうくみあい（じぎょうかいけいぶん）,平成12年4月1日,4970002,愛知県あま市七宝町遠島十坪１１９－１,0524420119,
,239267,丹羽広域事務組合（普通会計分）,にわこういきじむくみあい（ふつうかいけいぶん）,平成14年4月1日,4800121,愛知県丹羽郡大口町河北２－２３,0587953400,
,239283,衣浦東部広域連合,きぬうらとうぶこういきれんごう,平成15年4月1日,4488677,愛知県刈谷市小垣江町西高根２０４－１,0566630119,
,239291,西春日井広域事務組合,にしかすがいこういきじむくみあい,平成15年4月1日,4810014,愛知県北名古屋市井瀬木狭場１５,0568222511,
,239305,愛知県後期高齢者医療広域連合,あいちけんこうきこうれいしゃいりょうこういきれんごう,平成19年3月20日,4610001,愛知県名古屋市東区泉１－６－５,0529551227,
,239313,西知多医療厚生組合（事業会計分）,にしちたいりょうこうせいくみあい（じぎょうかいけいぶん）,平成22年4月1日,4780006,愛知県知多市三反田３－１－２,0562321597,
,239321,知多南部広域環境組合,ちたなんぶこういきかんきょうくみあい,平成22年4月1日,4702513,愛知県知多郡武豊町字一号地１１－３７,0569841007,
,239330,東三河広域連合,ひがしみかわこういきれんごう,平成27年1月30日,4400806,愛知県豊橋市八町通２－１６,0532356000,
,239348,尾張北部環境組合,おわりほくぶかんきょうくみあい,平成29年4月1日,4838221,愛知県江南市赤童子町大堀９０,0587541188,
,248011,四日市港管理組合,よっかいちこうかんりくみあい,昭和41年4月1日,5100011,三重県四日市市霞二丁目1-1,0593667006,
,248274,三重県多気郡多気町松阪市学校組合,みえけんたきぐんたきちょうまつさかしがっこうくみあい,昭和30年4月1日,5192181,三重県多気郡多気町相可1587番地1,0598381121,
,248347,わたらい老人福祉施設組合,わたらいろうじんふくししせつくみあい,昭和33年6月25日,5190504,三重県伊勢市小俣町宮前38番地,0596221045,
,248371,紀南社会福祉施設組合,きなんしゃかいふくししせつくみあい,昭和26年12月17日,5195203,三重県南牟婁郡御浜町大字下市木3487番地,0597921032,
,248398,三重県三重郡老人福祉施設組合,みえけんみえぐんろうじんふくししせつくみあい,昭和35年8月20日,5101233,三重県三重郡菰野町大字菰野5833番地1,0593941121,
,248525,紀南病院組合,きなんびょういんくみあい,昭和27年4月1日,5195293,三重県南牟婁郡御浜町大字阿田和4750番地,0597921333,
,248533,朝日町、川越町組合立環境クリーンセンター,あさひちょうかわごえちょうくみあいりつかんきょうくりーんせんたー,昭和32年5月1日,5108032,三重県四日市市川北町墨縄822番地,0593659017,
,248592,奥伊勢広域行政組合,おくいせこういきぎょうせいくみあい,昭和39年7月21日,5192412,三重県多気郡大台町菅合1621番地3,0598822254,
,248622,朝明広域衛生組合,あさけこういきえいせいくみあい,昭和40年10月13日,5108121,三重県三重郡川越町大字高松1508番地,0593654776,
,248631,松阪地区広域衛生組合,まつさかちくこういきえいせいくみあい,昭和41年2月14日,5150029,三重県松阪市西野々町721番地1,0598511851,
,248754,伊賀南部環境衛生組合,いがなんぶかんきょうえいせいくみあい,昭和45年10月1日,5180296,三重県伊賀市奥鹿野1990番地,0595531120,
,248771,三重紀北消防組合,みえきほくしょうぼうくみあい,昭和46年4月1日,5193639,三重県尾鷲市中川28番43号,0597222021,
,248789,南牟婁清掃施設組合,みなみむろせいそうしせつくみあい,昭和46年10月19日,5195204,三重県南牟婁郡御浜町大字阿田和2053番地,0597924621,
,248835,松阪地区広域消防組合,まつさかちくこういきしょうぼうくみあい,昭和47年9月28日,5150818,三重県松阪市川井町1001番地1,0598251411,
,248860,紀南特別養護老人ホーム組合,きなんとくべつようごろうじんほーむくみあい,昭和47年10月6日,5195716,三重県南牟婁郡紀宝町北桧杖90番地,0735210903,
,248959,桑名広域清掃事業組合,くわなこういきせいそうじぎょうくみあい,昭和52年2月1日,5110125,三重県桑名市多度町力尾字沢地4028番地,0594311031,
,248967,志摩広域行政組合,しまこういきぎょうせいくみあい,昭和52年4月1日,5170502,三重県志摩市阿児町神明1537番地1,0599432112,
,249106,三重県市町総合事務組合,みえけんしちょうそうごうじむくみあい,昭和62年6月15日,5140003,三重県津市桜橋二丁目96番地 （三重県自治会館内）,0592252138,
,249149,紀勢地区広域消防組合,きせいちくこういきしょうぼうくみあい,平成6年6月6日,5192404,三重県多気郡大台町佐原754番地,0598823611,
,249173,荷坂やすらぎ苑組合,にざかやすらぎえんくみあい,平成8年4月12日,5193111,三重県度会郡大紀町大内山1451番地5,0598722824,
,249181,香肌奥伊勢資源化広域連合,かはだおくいせしげんかこういきれんごう,平成10年9月1日,5192211,三重県多気郡多気町丹生4290番地,0598494311,
,249203,鳥羽志勢広域連合,とばしせいこういきれんごう,平成11年4月1日,5170214,三重県志摩市磯部町迫間22番地,0599561030,
,249211,紀北広域連合,きほくこういきれんごう,平成11年4月1日,5193405,三重県北牟婁郡紀北町船津881番地3,0597350888,
,249220,紀南介護保険広域連合,きなんかいごほけんこういきれんごう,平成11年4月1日,5194324,三重県熊野市井戸町450番地1,0597896001,
,249262,度会広域連合,わたらいこういきれんごう,平成11年6月1日,5162103,三重県度会郡度会町棚橋1202番地,0596622300,
,249271,鈴鹿亀山地区広域連合,すずかかめやまちくこういきれんごう,平成11年6月1日,5130801,三重県鈴鹿市神戸一丁目18番18号(鈴鹿市役所西館),0593693200,
,249289,桑名・員弁広域連合,くわないなべこういきれんごう,平成11年7月1日,5110001,三重県桑名市大字上之輪新田字永長707番地,0594275111,
,249335,伊勢広域環境組合,いせこういきかんきょうくみあい,平成13年4月1日,5150505,三重県伊勢市西豊浜町653番地,0596371218,
,249343,三重地方税管理回収機構,みえちほうぜいかんりかいしゅうきこう,平成16年4月1日,5148567,三重県津市桜橋三丁目446番地34(三重県津庁舎内),0592137355,
,249351,三重県後期高齢者医療広域連合,みえけんこうきこうれいしゃいりょうこういきれんごう,平成19年2月1日,5140003,三重県津市桜橋二丁目96番地(三重県自治会館内),0592216880,
,249360,東紀州環境施設組合,ひがしきしゅうかんきょうしせつくみあい,令和3年4月1日,5193671,三重県尾鷲市矢浜3丁目2番3号,0597490080,
,258024,滋賀県市町村職員退職手当組合,しがけんしちょうそんしょくいんたいしょくてあてくみあい,昭和33年4月1日,5200807,滋賀県大津市松本1-2-1,0775262822,
,258130,彦根市犬上郡営林組合,ひこねしいぬかみぐんえいりんくみあい,昭和12年2月11日,5220337,滋賀県犬上郡多賀町富之尾1586-4,0749490170,
,258148,彦根市、米原市山林組合,ひこねし、まいばらしさんりんくみあい,昭和39年2月4日,5210292,滋賀県米原市長岡1206,0749535175,
,258156,大滝山林組合,おおたきさんりんくみあい,昭和34年9月11日,5220337,滋賀県犬上郡多賀町富之尾1586-4,0749490029,
,258211,長浜水道企業団,ながはますいどうきぎょうだん,昭和38年9月1日,5260047,滋賀県長浜市下坂浜町248-22,0749624101,
,258318,湖北広域行政事務センター,こほくこういきぎょうせいじむせんたー,昭和40年4月5日,5260021,滋賀県長浜市八幡中山町200,0749627142,
,258334,八日市布引ライフ組合,ようかいちぬのびきらいふくみあい,昭和41年3月3日,5270066,滋賀県東近江市柴原南町1590,0748220465,
,258351,滋賀県市町村議会議員公務災害補償等組合,しがけんしちょうそんぎかいぎいんこうむさいがいほしょうとうくみあい,昭和43年9月1日,5200807,滋賀県大津市松本1-2-1,0775244246,
,258415,中部清掃組合,ちゅうぶせいそうくみあい,昭和46年5月28日,5291663,滋賀県蒲生郡日野町北脇1-1,0748530155,
,258458,東近江行政組合,ひがしおうみぎょうせいくみあい,昭和47年4月1日,5270037,滋賀県東近江市東今崎町5-33,0748227620,
,258474,甲賀広域行政組合,こうかこういきぎょうせいくみあい,昭和48年4月1日,5280005,滋賀県甲賀市水口町水口6218,0748620056,
,258580,湖東広域衛生管理組合,ことうこういきえいせいかんりくみあい,昭和49年9月1日,5291162,滋賀県犬上郡豊郷町八町500,0749354058,
,258598,愛知郡広域行政組合（普通会計分）,えちぐんこういきぎょうせいくみあい（ふつうかいけいぶん）,昭和50年4月1日,5270108,滋賀県東近江市小八木町16,0749451416,
,258601,愛知郡広域行政組合（事業会計分）,えちぐんこういきぎょうせいくみあい（じぎょうかいけいぶん）,昭和50年4月1日,5270108,滋賀県東近江市小八木町16,0749451416,
,258679,公立甲賀病院組合,こうりつこうかびょういんくみあい,昭和35年10月15日,5280074,滋賀県甲賀市水口町松尾1256,0748620234,
,258695,守山野洲行政事務組合,もりやまやすぎょうせいじむくみあい,平成7年3月15日,5240001,滋賀県守山市川田町2230-3,0775181755,
,258717,湖南広域行政組合,こなんこういきぎょうせいくみあい,平成10年4月1日,5203024,滋賀県栗東市小柿3-1-1,0775512727,
,258741,彦根愛知犬上広域行政組合,ひこねえちいぬかみこういきぎょうせいくみあい,平成12年11月1日,5291161,滋賀県犬上郡豊郷町四十九院1252,0749350015,
,258750,滋賀県市町村職員研修センター,しがけんしちょうそんしょくいんけんしゅうせんたー,平成14年4月1日,5200801,滋賀県大津市におの浜1-1-20,0775275270,
,258768,湖北地域消防組合,こほくちいきしょうぼうくみあい,平成18年4月1日,5260033,滋賀県長浜市平方町1135,0749622194,
,258776,滋賀県後期高齢者医療広域連合,しがけんこうきこうれいしゃいりょうこういきれんごう,平成19年2月1日,5200044,滋賀県大津市京町4-3-28,0775223013,
,258784,草津栗東行政事務組合,くさつりっとうぎょうせいじむくみあい,令和4年10月1日,5203088,滋賀県栗東市安養寺1-13-33,0775510199,
,268020,与謝野町宮津市中学校組合,よさのちょうみやづしちゅうがっこうくみあい,昭和24年4月1日,6292498,京都府与謝郡与謝野町字加悦433,0772439025,
,268038,加茂笠置組合,かもかさぎくみあい,明治26年1月27日,6190286,京都府木津川市木津南垣外110番地9,0774720501,
,268046,国民健康保険南丹病院組合,こくみんけんこうほけんなんたんびょういんくみあい,昭和26年4月1日,6290197,京都府南丹市八木町八木上野25番地,0771422510,
,268089,国民健康保険山城病院組合,こくみんけんこうほけんやましろびょういんくみあい,昭和27年3月27日,6190214,京都府木津川市木津駅前一丁目27番地,0774720235,
,268160,亀岡市及び南丹市財産区組合,かめおかしおよびなんたんしざいさんくくみあい,昭和35年4月22日,6218501 ,京都府亀岡市安町野々神8番地,0771255160 ,
,268178,船井郡衛生管理組合,ふないぐんえいせいかんりくみあい,昭和35年5月1日,6290166,京都府南丹市八木町室河原大見谷47番地,0771423425,
,268208,城南衛生管理組合,じょうなんえいせいかんりくみあい,昭和37年7月24日,6118521,京都府宇治市宇治折居18番地,0774343370,
,268216,木津川市精華町環境施設組合,きづがわしせいかちょうかんきょうしせつくみあい,昭和37年8月1日,6190211,京都府木津川市鹿背山川向1-2,0774721010,
,268224,京都府市町村職員退職手当組合,きょうとふしちょうそんしょくいんたいしょくてあてくみあい,昭和37年12月25日,6028048,京都府京都市上京区西洞院通下立売上る西大路町149の1,0754110200,
,268283,乙訓環境衛生組合,おとくにかんきょうえいせいくみあい,昭和39年6月17日,6180081,京都府乙訓郡大山崎町字下植野小字南牧方32,0759576681,
,268305,桂川・小畑川水防事務組合,かつらがわおばたがわすいぼうじむくみあい,昭和40年6月7日,6048571,京都府京都市中京区寺町通御池上る上本能寺前町488,0752223568,
,268313,澱川右岸水防事務組合,よどがわうがんすいぼうじむくみあい,昭和40年6月17日,6048571,京都府京都市中京区寺町通御池上る上本能寺前町488,0752223568,
,268348,淀川・木津川水防事務組合,よどがわきづがわすいぼうじむくみあい,昭和43年4月1日,6118501,京都府宇治市宇治琵琶33,0774225651,
,268364,京都府市町村議会議員公務災害補償等組合,きょうとふしちょうそんぎかいぎいんこうむさいがいほしょうとうくみあい,昭和43年11月1日,6028048,京都府京都市上京区西洞院通下立売上る西大路町149の1,0754110200,
,268411,相楽中部消防組合,そうらくちゅうぶしょうぼうくみあい,昭和47年4月1日,6190214,京都府木津川市木津白口10番地2,0774722119,
,268445,乙訓福祉施設事務組合,おとくにふくししせつじむくみあい,昭和49年10月23日,6170813,京都府長岡京市井ノ内西ノ口17の8,0759546507,
,268470,宮津与謝消防組合,みやづよざしょうぼうくみあい,昭和55年10月1日,6292251,京都府宮津市字須津413番地の26,0772466119,
,268496,相楽広域行政組合,そうらくこういきぎょうせいくみあい,昭和56年8月1日,6190214,京都府木津川市木津上戸15,0774720421,
,268500,京都中部広域消防組合,きょうとちゅうぶこういきしょうぼうくみあい,昭和57年4月1日,6210851,京都府亀岡市荒塚町1丁目9番1号,0771229580,
,268542,京都府自治会館管理組合,きょうとふじちかいかんかんりくみあい,平成8年1月11日,6028048,京都府京都市上京区西洞院通下立売上る西大路町149の1,0754110200,
,268569,京都府住宅新築資金等貸付事業管理組合,きょうとふじゅうたくしんちくしきんとうかしつけじぎょうかんりくみあい,平成11年10月1日,6028048,京都府京都市上京区西洞院通下立売上る西大路町149の1,0754174545,
,268577,乙訓消防組合,おとくにしょうぼうくみあい,平成13年3月16日,6170833,京都府長岡京市神足芝本9番地,0759520119,
,268585,京都府後期高齢者医療広域連合,きょうとふこうきこうれいしゃいりょうこういきれんごう,平成19年2月1日,6008411,京都府京都市下京区烏丸通四条下る水銀屋町620,0753441202,
,268593,相楽東部広域連合,そうらくとうぶこういきれんごう,平成20年12月22日,6191205,京都府相楽郡和束町大字中小字平田23－1,0774780120,
,268607,京都地方税機構,きょうとちほうぜいきこう,平成21年8月5日,6028570,京都府京都市上京区下立売通新町西入,0754144436,
,268615,宮津与謝環境組合,みやづよざかんきょうくみあい,平成25年4月1日,6292251,京都府宮津市字須津３２番地,0772462111,
,278084,恩智川水防事務組合,おんぢがわすいぼうじむくみあい,昭和34年5月1日,5810005,大阪府八尾市荘内町２丁目１番36号,0729941515,
,278092,淀川左岸水防事務組合,よどがわさがんすいぼうじむくみあい,昭和33年12月1日,5730051,大阪府枚方市三矢町６番11号,0728412310,
,278106,大和川右岸水防事務組合,やまとがわうがんすいぼうじむくみあい,昭和33年12月1日,5580032,大阪府大阪市住吉区遠里小野７丁目８番18号,0666940271,
,278122,淀川右岸水防事務組合,よどがわうがんすいぼうじむくみあい,昭和35年2月15日,5320025,大阪府大阪市淀川区新北野１丁目11番11号,0663028721,
,278149,守口市門真市消防組合,もりぐちしかどまししょうぼうくみあい,昭和23年3月7日,5710045,大阪府門真市殿島町７番１号,0669061122,
,278157,枚方寝屋川消防組合,ひらかたねやがわしょうぼうくみあい,昭和23年3月7日,5731191,大阪府枚方市新町１丁目７番11号,0728529903,
,278165,大阪南消防組合,おおさかみなみしょうぼうくみあい,昭和38年9月27日,5830015,大阪府藤井寺市青山３丁目613番地の８,0729589925,
,278246,八尾市柏原市火葬場組合,やおしかしわらしかそうじょうくみあい,昭和32年4月1日,5810026,大阪府八尾市曙町2丁目11番地　八尾市立リサイクルセンター学習プラザ３階,0729922139,
,278254,泉大津市、和泉市墓地組合,いずみおおつしいずみしぼちくみあい,昭和26年7月16日,5958686,大阪府泉大津市東雲町９番12号,0725331131,
,278262,高石市泉大津市墓地組合,たかいししいずみおおつしぼちくみあい,昭和30年1月18日,5928585,大阪府高石市加茂４丁目１番１号,0722756473,
,278271,豊中市伊丹市クリーンランド,とよなかしいたみしくりーんらんど,昭和36年3月20日,5610806,大阪府豊中市原田西町２番１号,0668415395,
,278289,泉北環境整備施設組合,せんぼくかんきょうせいびしせつくみあい,昭和38年2月1日,5920013,大阪府高石市取石６丁目９番40号,0725460150,
,278319,柏羽藤環境事業組合,かしはふじかんきょうじぎょうくみあい,昭和39年2月14日,5820027,大阪府柏原市円明町666番地,0729763333,
,278327,飯盛霊園組合,いいもりれいえんくみあい,昭和40年3月17日,5750012,大阪府四條畷市大字下田原448番地,0743781195,
,278335,泉佐野市田尻町清掃施設組合,いずみさのしたじりちょうせいそうしせつくみあい,昭和40年5月24日,5980000,大阪府泉佐野市6780番地,0724645211,
,278343,東大阪都市清掃施設組合,ひがしおおさかとしせいそうしせつくみあい,昭和40年10月4日,5780921,大阪府東大阪市水走４丁目６番25号,0729626021,
,278351,四條畷市交野市清掃施設組合,しじょうなわてしかたのしせいそうしせつくみあい,昭和41年1月20日,5760004,大阪府交野市大字私市3029番地１,0728939955,
,278360,岸和田市貝塚市清掃施設組合,きしわだしかいづかしせいそうしせつくみあい,昭和41年9月5日,5960016,大阪府岸和田市岸之浦町1番地の2,0724365389,
,278378,南河内環境事業組合,みなみかわちかんきょうじぎょうくみあい,昭和42年10月19日,5840054,大阪府富田林市大字甘南備２３４５番地,0721336584,
,278386,泉南清掃事務組合,せんなんせいそうじむくみあい,昭和42年10月21日,5990201,大阪府阪南市尾崎町532番地,0724840581,
,278408,大阪府都市ボートレース企業団,おおさかふとしぼーとれーすきぎょうだん,昭和27年8月11日,5590023,大阪府大阪市住之江区泉１丁目１番71号,0666826230,
,278530,藤井寺市柏原市学校給食組合,ふじいでらしかしわらしがっこうきゅうしょくくみあい,昭和45年12月25日,5830003,大阪府藤井寺市船橋町9番地の1,0729533761,
,278599,豊能郡環境施設組合,とよのぐんかんきょうしせつくみあい,昭和61年4月1日,5630292,大阪府豊能郡豊能町余野414番地の１,0727393004,
,278661,北河内4市リサイクル施設組合,きたかわちよんしりさいくるしせつくみあい,平成16年6月1日,5720855,大阪府寝屋川市寝屋南１丁目７番１号,0728232038,
,278670,大阪府後期高齢者医療広域連合,おおさかふこうきこうれいしゃいりょうこういきれんごう,平成19年1月17日,5400028,大阪府大阪市中央区常磐町１丁目３番８号,0647902029,
,278688,大阪広域水道企業団,おおさかこういきすいどうきぎょうだん,平成22年11月2日,5400012,大阪府大阪市中央区谷町２丁目３番12号,0669446862,
,278696,関西広域連合,かんさいこういきれんごう,平成22年12月1日,5300005,大阪府大阪市北区中之島５丁目３番51号大阪府立国際会議場11F,0648035668,
,278700,泉州南消防組合,"せんしゅうみなみしょうぼうくみあい
",平成24年11月14日,5980048,大阪府泉佐野市りんくう往来北１番地の20,0724690119,
,278718,大東四條畷消防組合,だいとうしじょうなわてしょうぼうくみあい,平成25年11月1日,5740037,大阪府大東市新町13番35号,0728722341,
,278726,大阪広域環境施設組合,おおさかこういきかんきょうしせつくみあい,平成26年11月25日,5450052,"大阪府大阪市阿倍野区阿倍野筋1丁目5番1号あべのルシアス12階

",0666303183,
,278734,枚方京田辺環境施設組合,ひらかたきょうたなべかんきょうしせつくみあい,平成28年5月31日,5730112,"大阪府枚方市大字尊延寺2949番地
",0728961570,
,288012,兵庫県市町村職員退職手当組合,ひょうごけんしちょうそんしょくいんたいしょくてあてくみあい,昭和30年4月1日,6500044,兵庫県神戸市中央区東川崎町1-3-3,0789547804,
,288047,阪神水道企業団,はんしんすいどうきぎょうだん,昭和11年7月21日,6580073,兵庫県神戸市東灘区西岡本3-20-1,0784314351,
,288101,北播衛生事務組合,ほくばんえいせいじむくみあい,昭和37年2月23日,6731425,兵庫県加東市西古瀬字戸サキ1169,0795421285,
,288128,北播磨こども発達支援センター事務組合わかあゆ園,きたはりまこどもはったつしえんせんたーじむくみあいわかあゆえん,昭和41年5月26日,6790212,兵庫県加東市下滝野1283-1,0795483074,
,288179,揖龍保健衛生施設事務組合,いりゅうほけんえいせいしせつじむくみあい,昭和38年11月12日,6794012,兵庫県たつの市揖西町前地513-1,0791648039,
,288195,加古川市外２市共有公会堂事務組合,かこがわしほかにしきょうゆうこうかいどうじむくみあい,大正11年11月1日,6758501,兵庫県加古川市加古川町北在家2000,0794212000,
,288209,市川町外三ケ市町共有財産事務組合,いちかわちょうほかさんかしちょうきょうゆうざいさんじむくみあい,昭和2年2月15日,6792303,兵庫県神崎郡市川町上瀬加841-2,0790270484,
,288241,公立豊岡病院組合,こうりつとよおかびょういんくみあい,明治22年4月1日,6688501,兵庫県豊岡市戸牧1094,0796226111,
,288268,洲本市・南あわじ市山林事務組合,すもとしみなみあわじしさんりんじむくみあい,昭和32年12月20日,6568686,兵庫県洲本市本町3-4-10,0799247640,
,288284,南あわじ市・洲本市小中学校組合,みなみあわじしすもとししょうちゅうがっこうくみあい,昭和32年7月5日,6560492,兵庫県南あわじ市市善光寺22-１,0799435230 ,
,288535,中播衛生施設事務組合,ちゅうばんえいせいしせつじむくみあい,昭和39年11月4日,6792203,兵庫県神崎郡福崎町南田原457,0790224210,
,288624,公立八鹿病院組合,こうりつようかびょういんくみあい,昭和32年4月30日,6678555,兵庫県養父市八鹿町八鹿1878-1,0796625555,
,288691,氷上多可衛生事務組合,ひかみたかえいせいじむくみあい,昭和46年1月1日,6693146,兵庫県丹波市山南町南中字坂ノ下45,0795770404,
,288811,兵庫県町議会議員公務災害補償組合,ひょうごけんちょうぎかいぎいんこうむさいがいほしょうくみあい,昭和44年1月1日,6500044,兵庫県神戸市中央区東川崎町1-3-3,0783610801,
,288900,洲本市・南あわじ市衛生事務組合,すもとしみなみあわじしえいせいじむくみあい,昭和46年9月1日,6560122,兵庫県南あわじ市広田広田1174,0799450534,
,289027,加古郡衛生事務組合,かこぐんえいせいじむくみあい,昭和47年6月1日,6750155,兵庫県加古郡播磨町新島60,0794377578,
,289035,播磨内陸医務事業組合,はりまないりくいむじぎょうくみあい,昭和47年9月20日,6731451,兵庫県加東市家原812-1,0795423961,
,289043,淡路広域行政事務組合（普通会計分）,あわじこういきぎょうせいじむくみあい（ふつうかいけいぶん）,昭和47年10月1日,6560027,兵庫県洲本市港2－26,0799244770,
,289051,南但広域行政事務組合,なんたんこういきぎょうせいじむくみあい,昭和47年12月1日,6670126,兵庫県養父市堀畑550,0796650146,
,289060,淡路広域消防事務組合,あわじこういきしょうぼうじむくみあい,昭和48年1月11日,6560021,兵庫県洲本市塩屋1-2-32,0799240119,
,289086,西播磨水道企業団,にしはりますいどうきぎょうだん,昭和48年9月1日,6780024,兵庫県相生市双葉1-4-21,0791227123,
,289205,西脇多可行政事務組合,にしわきたかぎょうせいじむくみあい,昭和55年1月5日,6790303,兵庫県西脇市黒田庄町前坂2163,0795289511,
,289213,安室ダム水道用水供給企業団,やすむろだむすいどうようすいきょうきゅうきぎようだん,昭和55年9月5日,6781292,兵庫県赤穂郡上郡町大持278,0791525320,
,289221,兵庫県競馬組合,ひょうごけんけいばくみあい,昭和55年10月1日,6610951,兵庫県尼崎市田能2-1-1,0664910601,
,289230,美方郡広域事務組合,みかたぐんこういきじむくみあい,昭和55年12月1日,6696821,兵庫県美方郡新温泉町湯904-2,0796922410,
,289256,中播北部行政事務組合,ちゅうばんほくぶぎょうせいじむくみあい,昭和56年6月4日,6792415,兵庫県神崎郡神河町福本1247-60,0790322888,
,289264,姫路福崎斎苑施設事務組合,ひめじふくさきさいえんしせつじむくみあい,昭和56年6月24日,6792163,兵庫県姫路市香寺町土師333,0792323196,
,289272,淡路広域水道企業団,あわじこういきすいどうきぎょうだん,昭和57年2月1日,6560452,兵庫県南あわじ市神代浦壁792-6,0799425896,
,289329,小野加東加西環境施設事務組合,おのかとうかさいかんきょうしせつじむくみあい,昭和62年2月12日,6751316,兵庫県小野市天神町538-1,0794626250,
,289515,くれさか環境事務組合,くれさかかんきょうじむくみあい,平成5年1月7日,6712121,兵庫県姫路市夢前町宮置803,0793353670,
,289558,北但行政事務組合,ほくたんぎょうせいじむくみあい,平成7年3月1日,6696331,兵庫県豊岡市竹野町坊岡943,0796219110,
,289566,但馬広域行政事務組合,たじまこういきぎょうせいじむくみあい,平成7年10月13日,6680045,兵庫県豊岡市城南町23-6,0796242247,
,289591,小野加東広域事務組合,おのかとうこういきじむくみあい,平成1年2月27日,6751364,兵庫県小野市万勝寺町435-88,0794670164,
